User-ID,Location,Age
1,nyc - new york - usa,
2,stockton - california - usa,18
3,moscow - yukon territory - russia,
4,porto - v.n.gaia - portugal,17
5,farnborough - hants - united kingdom,
6,santa monica - california - usa,61
7,washington - dc - usa,
8,timmins - ontario - canada,
9,germantown - tennessee - usa,
10,albacete - wisconsin - spain,26
11,melbourne - victoria - australia,14
12,fort bragg - california - usa,
13,barcelona - barcelona - spain,26
14,mediapolis - iowa - usa,
15,calgary - alberta - canada,
16,albuquerque - new mexico - usa,
17,chesapeake - virginia - usa,
18,rio de janeiro - rio de janeiro - brazil,25
19,weston -  -,14
20,langhorne - pennsylvania - usa,19
21,ferrol / spain - alabama - spain,46
22,erfurt - thueringen - germany,
23,philadelphia - pennsylvania - usa,
24,cologne - nrw - germany,19
25,oakland - california - usa,55
26,bellevue - washington - usa,
27,chicago - illinois - usa,32
28,freiburg - baden-wuerttemberg - germany,24
29,cuernavaca - alabama - mexico,19
